,Company,Website,Industry,Founded Year,State
0,1Strategy,https://www.1strategy.com/,Information Technology,2015,"Bellevue, WA"
1,360Converge,https://www.360converge.com/,Automotive,2015,"Orlando, FL"
2,4G Clinical,https://www.4gclinical.com/about,Supply Chain Management,2015,"Wellesley, MA"
3,"7X Energy, Inc",https://7x.energy/,Green Energy,2016,"Austin, TX"
4,Abe AI,http://www.abe.ai/platform/,AI,2016,"Orlando, FL"
5,Aciana,https://www.aciana.com/solutions/medical-coding/,Blockchain,2018," Columbus, Ohio"
6,Addepto,https://www.addepto.com/machine-learning-services,AI,2017,"Warsaw, Mazowieckie"
7,"AEV Technologies, Inc",https://aevgo.com/,Fleet Management,2014,"Round Rock, TX"
8,AiRo Digital Labs,http://www.airodigitallabs.com/,Healthcare,2018," Chicago, IL"
9,Alchemy Renewable Energy,https://www.alchemyenergy.com/,Green Energy,2016,"Charlotte, NC"
10,Alkymi,https://www.alkymi.io/,Digital Technology,2017,"New York, NY"
11,Alternative-Solar,https://alternative-solar.com/,Green Energy,2018,"San Antonio, TX"
12,AmazeInc,http://www.amazeincglobal.com/services/best-business-intelligence-in-usa.html,Information Technology,2014,"New Jersey,USA"
13,Ameri Energy Group,http://www.amerienergygroup.com/,Green Energy,2015,"Essex, Connecticut"
14,AMP Robotics,https://www.amprobotics.com/,Robotics,2015,"Louisville, Colorado"
15,Analytics Fire,http://afdc.co/,Green Energy,2014,"Palo Alto, California"
16,AnswerIQ,https://www.answeriq.com/about,AI,2016,"Bellevue, WA"
17,AntEater Analytics,https://try.anteateranalytics.com/,Project Management,2017,"BC, Canada"
18,APC AUTOMOTIVE TECHNOLOGIES,https://www.apcautotech.com/markets/automotive-and-light-duty,Automotive,2000,"Littleton, Colorado"
19,"Applied Intuition, Inc.",https://www.appliedintuition.com/,Computer Software,2006,"Palo Alto, CA"
20,Arabot,https://arabot.io/,Information Technology,2016,Amman
21,ArtisChain,https://www.artischain.io/business-networks/,Supply Chain Management,2018,"Greenwich, Connecticut"
22,Astound,https://astound.ai/, Information Technology,2016,"Menlo Park, CA"
23,Audioburst,https://audioburst.com/about.html,Internet,2015,"Palo Alto, CA"
24,Axper,https://axper.com/,Information Technology,2005,"Richelieu, Quebec"
25,ayfie Group,https://www.ayfie.com/,eDiscovery,2018,Oslo
26,Binariks Inc.,https://binariks.com/,Information Technology,2014,"Lviv, Lviv"
27,Binary Fountain,https://www.binaryfountain.com/binary-health-analytics/,Information Technology,2014,"McLean, VA"
28,Botsify,https://botsify.com/,AI,2016,USA
29,Brillio,https://www.brillio.com/what-we-do/big-data-analytics/,Information Technology,2014,"Santa Clara, CA"
30,Carbon,https://www.carbon3d.com/,3d Printing,2013,"Redwood City, CA"
31,Cascade Data Labs,http://www.cascadedatalabs.com/content/,Information Technology,2016,"Portland, Oregon"
32,Ceniza Networks,http://www.ceniza.net/wordpress/,Computer & Network Security,2018,"Allen, TX"
33,CIVIQ Smartscapes,http://www.civiqsmartscapes.com/solutions,Telecommunications,2015,"Milford, MA"
34,CloudMinds Technology Inc,http://www.cloudminds.com/,Robotics,2015,"Santa Clara, CA"
35,Cloverleaf Analytics,http://www.civiqsmartscapes.com/solutions,Business Intelligence,2015,"Austin, TX"
36,Cludo,https://www.cludo.com/umbraco-site-search/,AI,2015,Kobenhavn SV
37,Confluent,https://www.confluent.io/, logistics,2014,"Palo Alto, California"
38,Contact Cubed,https://contactcubed.com/,Computer Software,2017,"Chagrin Falls, Ohio"
39,CoraMed,https://www.coramed.solutions/,Pharmaceuticals,2017,"Brooklyn, NY"
40,CoverageCorp Inc.,https://coveragecorp.ca/,Automotive,2016,"Ottawa, ON"
41,Crux Technology and Security Solutions,https://cruxsolutions.com/,Computer Software,2015,"Fort Worth, Texas "
42,CryptoMove,https://www.cryptomove.com/,Cloud Technology,2015,"Oakland, California"
43,CybSafe,https://www.cybsafe.com/,cyber security,2015,"Canary Wharf, London"
44,Dandelion,https://dandelionenergy.com/about/,Cleantech,2017,USA
45,Darkstore,https://www.darkstore.com,Logistics,2017,"San Francisco, CA"
46,DataRobot,https://www.datarobot.com/,AI,2012," Boston, MA"
47,Deep 6 AI,https://deep6.ai/about/,AI,2015,"Pasadena, CA"
48,Deepgram,https://www.deepgram.com/,Computer Software,2015,"San Francisco, California"
49,DeepMap,https://www.deepmap.ai/,Computer Software,2016,"Palo Alto, California"
50,Defence Unlimited International,http://defenceunlimited.com/about-defence-unlimited/,Defense & Space,2015,"Mississauga, ON"
51,Digital Asset,https://digitalasset.com/,Blockchain,2014,USA
52,Drive ai,https://www.drive.ai/,AI,2015,"Mountain View, CA"
53,Eigen Technologies,https://www.eigentech.com/#demo-cta,Information Technology,2014,"Victoria Street, London"
54,Emerj,https://emerj.com/ai-sector-overviews/natural-language-processing-banking-current-applications/,AI,2017,"Newton, Massachusetts"
55,Filament AI,https://www.filament.ai/about-us/,AI,2016," Toronto, ON"
56,FleetHolder,https://www.fleetholder.com/,Fleet,2015,"Santa Clara,CA"
57,FR8Star,www.fr8star.com/,Freight,2015,"Oakland, CA"
58,GOVRED,http://www.govred.com/,Law Enforcement,2017,"Cedar Rapids, IA "
59,Haystack Data Solutions,http://haystackdata.com/,Information Technology ,2014,"Minneapolis, MN."
60,Horizon Robotics,https://www.horizon.ai,AI,2015, Beijing
61,Hypergiant,https://www.hypergiant.com/,AI,2018,"Austin, TX "
62,Ikon GPS,https://www.ikongps.com/company,Automotive,2018,"Arlington, TX"
63,IMNA Solutions,https://imnasol.com/about-us/,Healthcare,2016,"Scottsdale, Arizona"
64,Impact Analytics,https://www.impactanalytics.co/,HealthCare,2015,"Linthicum, Maryland"
65,InData Labs,https://indatalabs.com/?cli_action=1558670736.377,AI,2014,Minsk
66,"Intelligent Structures, Inc",https://www.intellistruct.com/,IOT,2015,"Menlo Park, CA"
67,Kanayma LLC,https://kanayma.net/,IOT,2016,"FL 33458, USA"
68,Lanternfish,https://www.lanternfish.cn/home/ch-index#product,NLP,2017,"Hong Kong, Hongkong"
69,Lateetud,https://www.lateetud.com/about-us/,Robotics,2015,Washington DC 
70,Lightship,www.lightshipworks.com/,Computer Software,2015,"Washington, DC,"
71,Lone Star Tracking,https://www.lonestartracking.com/,Computer Software,2015,"The Woodlands, Tx"
72,Menerva Software,https://menervasoftware.com/,Information Technology,2016,"Schaumburg, IL"
73,Mighty AI,https://mighty.ai/,AI,2014,"Seattle, Washington"
74,Miner & Kasch Data Science,https://minerkasch.com/,Computer Software,2015,"Elkridge, MD"
75,NASGO,https://nasgo.com/,Cryptocurrency,2015,Hong kong
76,NMBL Technologies,https://www.nmbltech.com/,Cloud Technology,2018,"Chicago, Illinois"
77,Pearl Technology Holdings.,https://pearlsolutions.com/,Computer Software,2014,"Plano, TX"
78,Physna LLC,https://www.physna.com/,PLM,2015,"Cincinnati, OH"
79,Qoor,https://qoor.io/#about,Information Technology,2018,"San Jose, California"
80,RealX Solutions,https://www.realxsolutions.com/about,AR/VR,2017,"New York, NY"
81,Remix,https://www.remix.com/,Smart City,2014,"San Francisco, CA"
82,RMS AUTOMOTIVE,http://rmsautomotive.com/,Automotive,2014,"Atlanta, GA"
83,Roadcast Delivery,https://www.roadcast.in/,Fleet Management,2015,"Shalimar Bagh, New Delhi"
84,Route,https://getroute.com/,Computer Software,2017,"Chicago, IL"
85,Sapho,https://www.sapho.com/,Enterprise Mobility,2014,"San Bruno, CA"
86,Saviant Consulting,https://www.saviantconsulting.com/,Information Technology,2014,USA
87,SecurityScorecard,https://securityscorecard.com/company,Information Technology,2013,"Newyork,NY"
88,SFL Scientific,https://sflscientific.com/,AI,2015," Quincy, MA"
89,SpotFlock,https://spotflock.com/,AI,2017,"Wilmington, DE "
90,Switchboard Logistics,www.onswitchboard.com/,Fleet Management,2015,"Vancouver, BC"
91,Tellius,https://www.tellius.com/,Computer Software,2015,"Reston, Virginia"
92,Tenna,http://www.tenna.com/,Information Technology,2015,"Edison, NJ"
93,Trustgrid,https://trustgrid.io/,Computer & Network Security,2016,"Austin, TX "
94,Vission Technology Inc,https://vission.ca/,,2017,Vancouver
95,VistaTrackGPS,http://vistatrackgps.com/,Fleet Management,2015,USA
96,Webtunix AI,https://www.webtunix.com/,AI,2015,"New York City, United State"
97,Wise Systems,https://www.wisesystems.com/,Machine Learning,2014,"Cambridge, MA"
98,XPEDITION EXCHANGE LLC,https://xpedition.exchange/,Digital Transformation ,2018,"Chicago, IL"
99,ZENUITY,https://www.zenuity.com/make-it-real/#our-mission,IoT,2017,"SANTA CLARA, USA"
